alpha,beta,mean_reward
0.2,0.2,0.05492398835714285
0.24482758620689657,0.2,0.14450245205197043
0.2896551724137931,0.2,0.234080915746798
0.33448275862068966,0.2,0.32365937944162554
0.3793103448275862,0.2,0.4132378431364532
0.4241379310344828,0.2,0.5028163068312808
0.4689655172413793,0.2,0.5923947705261083
0.5137931034482759,0.2,0.6819732342209359
0.5586206896551724,0.2,0.7715516979157635
0.603448275862069,0.2,0.8611301616105911
0.6482758620689655,0.2,0.9507086253054187
0.693103448275862,0.2,1.0402870890002462
0.7379310344827585,0.2,1.1298655526950738
0.7827586206896551,0.2,1.2194440163899012
0.8275862068965518,0.2,1.3090224800847292
0.8724137931034484,0.2,1.3986009437795566
0.9172413793103449,0.2,1.4881794074743844
0.9620689655172414,0.2,1.577757871169212
1.006896551724138,0.2,1.6673363348640393
1.0517241379310345,0.2,1.7569147985588671
1.096551724137931,0.2,1.8464932622536945
1.1413793103448275,0.2,1.936071725948522
1.186206896551724,0.2,2.025650189643349
1.2310344827586206,0.2,2.1152286533381774
1.2758620689655171,0.2,2.204807117033005
1.3206896551724137,0.2,2.2943855807278317
1.3655172413793102,0.2,2.3839640444226595
1.410344827586207,0.2,2.4735425081174873
1.4551724137931035,0.2,2.563120971812315
1.5,0.2,2.6526994355071425
0.2,0.24482758620689657,-0.022343926223152722
0.24482758620689657,0.24482758620689657,0.06723453747167488
0.2896551724137931,0.24482758620689657,0.15681300116650249
0.33448275862068966,0.24482758620689657,0.24639146486132998
0.3793103448275862,0.24482758620689657,0.3359699285561575
0.4241379310344828,0.24482758620689657,0.42554839225098534
0.4689655172413793,0.24482758620689657,0.5151268559458129
0.5137931034482759,0.24482758620689657,0.6047053196406403
0.5586206896551724,0.24482758620689657,0.6942837833354683
0.603448275862069,0.24482758620689657,0.7838622470302955
0.6482758620689655,0.24482758620689657,0.873440710725123
0.693103448275862,0.24482758620689657,0.9630191744199506
0.7379310344827585,0.24482758620689657,1.0525976381147781
0.7827586206896551,0.24482758620689657,1.1421761018096057
0.8275862068965518,0.24482758620689657,1.2317545655044335
0.8724137931034484,0.24482758620689657,1.3213330291992613
0.9172413793103449,0.24482758620689657,1.410911492894089
0.9620689655172414,0.24482758620689657,1.5004899565889163
1.006896551724138,0.24482758620689657,1.5900684202837436
1.0517241379310345,0.24482758620689657,1.6796468839785714
1.096551724137931,0.24482758620689657,1.7692253476733992
1.1413793103448275,0.24482758620689657,1.858803811368226
1.186206896551724,0.24482758620689657,1.9483822750630537
1.2310344827586206,0.24482758620689657,2.0379607387578815
1.2758620689655171,0.24482758620689657,2.127539202452709
1.3206896551724137,0.24482758620689657,2.2171176661475367
1.3655172413793102,0.24482758620689657,2.306696129842364
1.410344827586207,0.24482758620689657,2.396274593537192
1.4551724137931035,0.24482758620689657,2.4858530572320197
1.5,0.24482758620689657,2.5754315209268475
0.2,0.2896551724137931,-0.09961184080344829
0.24482758620689657,0.2896551724137931,-0.010033377108620702
0.2896551724137931,0.2896551724137931,0.0795450865862069
0.33448275862068966,0.2896551724137931,0.16912355028103446
0.3793103448275862,0.2896551724137931,0.25870201397586196
0.4241379310344828,0.2896551724137931,0.3482804776706897
